date,open,close,,buy_mo,price_change_mo,percent_change_mo,overall_ret_buy_mo,buy_mc,price_change_mc,percent_change_mc,overall_ret_buy_mc,buy_monthly,,buy_quarterly,buy_and_hold,,,buy_and_hold,,Invesment Amount,# of Shares
2014-10-01,196.7,194.35,,"$10,847.91",-$2.35,-1.1947%,,"$11,538.54",-$0.32,-0.1624%,,,,,"$12,668.26",,,,,,
2014-10-02,194.18,194.38,,"$10,859.08",$0.20,0.1030%,,"$11,528.45",-$0.17,-0.0875%,,,,,"$12,505.96",,,,,,
2014-10-03,195.68,196.52,,"$10,905.70",$0.84,0.4293%,,"$11,605.55",$1.30,0.6688%,,,,,"$12,602.56",,,,,,
2014-10-06,197.34,196.29,,"$10,847.67",-$1.05,-0.5321%,,"$11,653.98",$0.82,0.4173%,,,,,"$12,709.47",,,,,,
2014-10-07,195.28,193.26,,"$10,735.46",-$2.02,-1.0344%,,"$11,594.01",-$1.01,-0.5145%,,,,,"$12,576.80",,,,,,
2014-10-08,193.37,196.64,,"$10,917.00",$3.27,1.6911%,,"$11,600.61",$0.11,0.0569%,,,,,"$12,453.79",,,,,,
2014-10-09,196.33,192.74,,"$10,717.38",-$3.59,-1.8286%,,"$11,582.32",-$0.31,-0.1576%,,,,,"$12,644.43",,,,,,
2014-10-10,192.69,190.54,,"$10,597.80",-$2.15,-1.1158%,,"$11,579.32",-$0.05,-0.0259%,,,,,"$12,410.00",,,,,,
2014-10-13,190.46,187.4099,,"$10,428.08",-$3.05,-1.6014%,,"$11,574.46",-$0.08,-0.0420%,,,,,"$12,266.37",,,,,,
2014-10-14,188.42,187.7,,"$10,388.23",-$0.72,-0.3821%,,"$11,636.84",$1.01,0.5390%,,,,,"$12,134.99",,,,,,
2014-10-15,185.16,186.43,,"$10,459.48",$1.27,0.6859%,,"$11,479.37",-$2.54,-1.3532%,,,,,"$11,925.03",,,,,,
2014-10-16,183.06,186.27,,"$10,642.89",$3.21,1.7535%,,"$11,271.86",-$3.37,-1.8076%,,,,,"$11,789.79",,,,,,
2014-10-17,188.42,188.47,,"$10,645.72",$0.05,0.0265%,,"$11,401.97",$2.15,1.1542%,,,,,"$12,134.99",,,,,,
2014-10-20,188.13,190.3,,"$10,768.51",$2.17,1.1535%,,"$11,381.40",-$0.34,-0.1804%,,,,,"$12,116.31",,,,,,
2014-10-21,191.68,194.07,,"$10,902.78",$2.39,1.2469%,,"$11,463.93",$1.38,0.7252%,,,,,"$12,344.95",,,,,,
2014-10-22,194.41,192.69,,"$10,806.32",-$1.72,-0.8847%,,"$11,484.02",$0.34,0.1752%,,,,,"$12,520.77",,,,,,
2014-10-23,194.62,194.93,,"$10,823.53",$0.31,0.1593%,,"$11,599.04",$1.93,1.0016%,,,,,"$12,534.30",,,,,,
2014-10-24,195.25,196.43,,"$10,888.95",$1.18,0.6044%,,"$11,618.08",$0.32,0.1642%,,,,,"$12,574.87",,,,,,
2014-10-27,195.73,196.16,,"$10,912.87",$0.43,0.2197%,,"$11,576.68",-$0.70,-0.3564%,,,,,"$12,605.78",,,,,,
2014-10-28,196.82,198.41,,"$11,001.03",$1.59,0.8078%,,"$11,615.63",$0.66,0.3365%,,,,,"$12,675.98",,,,,,
2014-10-29,198.55,198.11,,"$10,976.65",-$0.44,-0.2216%,,"$11,623.83",$0.14,0.0706%,,,,,"$12,787.40",,,,,,
2014-10-30,197.58,199.38,,"$11,076.65",$1.80,0.9110%,,"$11,592.73",-$0.53,-0.2675%,,,,,"$12,724.93",,,,,,
2014-10-31,201.78,201.66,,"$11,070.06",-$0.12,-0.0595%,,"$11,732.28",$2.40,1.2037%,,,,,"$12,995.43",,,,,,
2014-11-03,201.92,201.77,,"$11,061.84",-$0.15,-0.0743%,,"$11,747.40",$0.26,0.1289%,,,,,"$13,004.44",,,,,,
2014-11-04,201.23,201.07,,"$11,053.04",-$0.16,-0.0795%,,"$11,715.96",-$0.54,-0.2676%,,,,,"$12,960.01",,,,,,
2014-11-05,202.54,202.34,,"$11,042.13",-$0.20,-0.0987%,,"$11,801.62",$1.47,0.7311%,,,,,"$13,044.37",,,,,,
2014-11-06,202.39,203.15,,"$11,083.59",$0.76,0.3755%,,"$11,804.53",$0.05,0.0247%,,,,,"$13,034.71",,,,,,
2014-11-07,203.17,203.34,,"$11,092.87",$0.17,0.0837%,,"$11,805.69",$0.02,0.0098%,,,,,"$13,084.95",,,,,,
2014-11-10,203.38,203.98,,"$11,125.59",$0.60,0.2950%,,"$11,808.02",$0.04,0.0197%,,,,,"$13,098.47",,,,,,
2014-11-11,204.055,204.175,,"$11,132.13",$0.12,0.0588%,,"$11,812.36",$0.08,0.0368%,,,,,"$13,141.95",,,,,,
2014-11-12,203.35,203.96,,"$11,165.53",$0.61,0.3000%,,"$11,764.63",-$0.83,-0.4041%,,,,,"$13,096.54",,,,,,
2014-11-13,204.16,204.19,,"$11,167.17",$0.03,0.0147%,,"$11,776.16",$0.20,0.0981%,,,,,"$13,148.71",,,,,,
2014-11-14,204.1,204.24,,"$11,174.83",$0.14,0.0686%,,"$11,770.97",-$0.09,-0.0441%,,,,,"$13,144.84",,,,,,
2014-11-17,203.85,204.37,,"$11,203.33",$0.52,0.2551%,,"$11,748.50",-$0.39,-0.1910%,,,,,"$13,128.74",,,,,,
2014-11-18,204.44,205.55,,"$11,264.16",$1.11,0.5429%,,"$11,752.52",$0.07,0.0343%,,,,,"$13,166.74",,,,,,
2014-11-19,205.31,205.22,,"$11,259.22",-$0.09,-0.0438%,,"$11,738.80",-$0.24,-0.1168%,,,,,"$13,222.77",,,,,,
2014-11-20,204.26,205.58,,"$11,331.98",$1.32,0.6462%,,"$11,683.89",-$0.96,-0.4678%,,,,,"$13,155.15",,,,,,
2014-11-21,207.64,206.68,,"$11,279.59",-$0.96,-0.4623%,,"$11,800.96",$2.06,1.0020%,,,,,"$13,372.83",,,,,,
2014-11-24,207.17,207.26,,"$11,284.49",$0.09,0.0434%,,"$11,828.94",$0.49,0.2371%,,,,,"$13,342.56",,,,,,
2014-11-25,207.54,207.11,,"$11,261.11",-$0.43,-0.2072%,,"$11,844.92",$0.28,0.1351%,,,,,"$13,366.39",,,,,,
2014-11-26,207.29,207.64,,"$11,280.13",$0.35,0.1688%,,"$11,855.22",$0.18,0.0869%,,,,,"$13,350.29",,,,,,
2014-11-28,207.49,207.2,,"$11,264.36",-$0.29,-0.1398%,,"$11,846.65",-$0.15,-0.0722%,,,,,"$13,363.17",,,,,,
2014-12-01,206.4,205.76,,"$11,229.43",-$0.64,-0.3101%,,"$11,800.91",-$0.80,-0.3861%,,,,,"$13,292.97",,,,,,
2014-12-02,205.81,207.085,,"$11,299.00",$1.28,0.6195%,,"$11,803.78",$0.05,0.0243%,,,,,"$13,254.98",,,,,,
2014-12-03,207.3,207.89,,"$11,331.16",$0.59,0.2846%,,"$11,816.04",$0.22,0.1038%,,,,,"$13,350.94",,,,,,
